id	filename	md5	size	state
15e5f0a4-1110-4f27-8d88-c7892ff53040	TCGA-VS-A8QF-01Z-00-DX1.D8DB41E0-8C0F-4394-A2A2-8721BE35644B.svs	5d04ff434c1d174158993031911103f2	164406353	released
ac78fe6b-5051-4835-bb6c-026fd31ef0a4	TCGA-F4-6805-01Z-00-DX1.9927edbb-2801-4988-b113-1fdfd31a72a0.svs	c3501c65272045f8ee2343534a37b988	333170911	released
3ce838fa-8abf-43db-a9fa-bb058f7e6982	TCGA-AA-A01T-01Z-00-DX1.0C795296-87D6-4B90-9363-CF5CD7A2924D.svs	bdacf4f9ef76f5c62afdccca3f912813	1034121582	released
06b176f5-566d-4f63-869b-303b7c03995f	TCGA-FP-7916-01Z-00-DX1.6264d8c6-0ddb-4905-ad0c-146e380ddee1.svs	513daefe38269b9062e9c3ddcbc38ac2	133302121	released
53eee334-f97e-4124-9dd3-2f84c58ecf5b	TCGA-CG-4444-01Z-00-DX1.2f966933-a92c-4888-853c-2f8ca195120e.svs	2bb6d3ea43fcda0802d1965456372149	233288030	released
c027f30f-fd67-4e0f-98a4-6fcdc5f624ab	TCGA-IN-7806-01Z-00-DX1.2e7288fd-e149-4d4f-9d63-dd2e2f91d4f8.svs	292fe6448c88c58395e01863c8c226de	1060408967	released
b2058247-89d3-477b-82e7-605e16575069	TCGA-J1-A4AH-01Z-00-DX1.702A5CC6-0BFA-42F4-995B-8567A1DE0D09.svs	4be405fc2af0a3334a9bd60677961c4a	1299245213	released
45cf729f-ee19-465e-b2d1-6279b5aa1c6b	TCGA-VQ-A8PZ-01Z-00-DX1.EE25BECD-7611-48EC-B78C-27F5E5BDD5DF.svs	65a050a1bb937686090b40c69e338ebe	928769933	released
ba8c7a7b-48c6-4e1a-8afd-8d0378da7d3f	TCGA-VQ-A8PT-01Z-00-DX1.7A0E6C8F-E0D2-49AC-9C03-3C9B34EB0AE8.svs	c01c0a59f9f3a079321dbdbc82bb68b0	2469521187	released
e7ec3599-5f8b-428e-9794-d71b3238bca0	TCGA-VQ-AA68-01Z-00-DX1.CF6FBB15-5887-4406-946A-AF93918EC318.svs	d2d8c6602eab76bc029df4f7b770170d	1750249335	released
bff6b77a-0c5f-42cc-81b9-ebf7886b9554	TCGA-NC-A5HO-01Z-00-DX1.0DA8CF7E-0B14-44BA-BFA1-DC2E35B8A20C.svs	8bdb3df59fa10482eea85079880275fd	2369201329	released
cd6175fa-0420-4353-984d-b3b4cc7acd4a	TCGA-BR-A4J2-01Z-00-DX1.37D92442-6B00-4171-81E3-73A7FC6BBEF4.svs	071cea98bf3c55c6a8c76b6f2379077e	1138807223	released
4c57401b-6446-4673-a248-ba13dea8292e	TCGA-A2-A0CO-01Z-00-DX1.B191DADE-7DEA-4575-AED7-1C52BE15B8D5.svs	f2464fd74c954c4d2ea98ce263f262d1	726740017	released
06e8a74d-0a2d-4a0c-bef9-708f4e075670	TCGA-LL-A8F5-01Z-00-DX1.7579425E-1425-4160-A9DD-3D50F4C5428D.svs	a14ad0f4270bf661a1936f833d544ef2	2364028443	released
2668ec50-5c50-4e3a-bad8-b3a648408cc6	TCGA-E9-A5FK-01Z-00-DX1.3F002C99-B4CA-4068-A816-EAC370A2E8C4.svs	34946ea79b3f49b4ec4e13ebd4381ea7	688025205	released
bffb530b-7605-467d-98c2-1299acecdfc4	TCGA-XX-A899-01Z-00-DX1.08FE27B7-73B8-4CE3-ACF4-0689C81C140B.svs	04ecbf969135ab6b9b9a5511f18c4126	1392489277	released
